Date,Region,Product_Category,Revenue,Expenses,Net_Profit,Customer_Count,Marketing_Spend,Employee_Cost,Sales_Channel,Order_Count
2023-01-01,East,Clothing,23354.0,96913.0,-73559.0,150,32324.0,,Online,671
2023-01-02,North,Furniture,27190.0,96108.0,-68918.0,424,37905.0,52626.0,Hybrid,783
2023-01-03,North,Electronics,11142.0,,,102,12025.0,11807.0,Online,121
2023-01-04,East,Clothing,164470.0,71639.0,92831.0,123,29260.0,11204.0,Hybrid,766
2023-01-05,East,Clothing,188043.0,56383.0,131660.0,293,44739.0,58944.0,Offline,404
2023-01-06,West,Furniture,46862.0,136066.0,-89204.0,453,45768.0,43120.0,Offline,773
2023-01-07,North,Electronics,189482.0,49234.0,140248.0,420,27957.0,23658.0,Hybrid,647
2023-01-08,North,Clothing,155575.0,130674.0,24901.0,152,48515.0,38081.0,Hybrid,786
2023-01-09,East,Grocery,130438.0,7594.0,122844.0,232,11032.0,35986.0,Hybrid,568
2023-01-10,South,Grocery,,9371.0,44085.0,241,14018.0,51304.0,Offline,843
2023-01-11,East,Grocery,105167.0,49315.0,55852.0,472,6976.0,66592.0,Offline,96
2023-01-12,East,Electronics,87035.0,129251.0,-42216.0,42,20243.0,59548.0,Online,114
2023-01-13,East,Clothing,13016.0,81526.0,-68510.0,285,1504.0,40986.0,Offline,987
2023-01-14,East,Grocery,7384.0,149698.0,-142314.0,179,43554.0,67151.0,Hybrid,986
2023-01-15,West,Electronics,198392.0,88005.0,110387.0,149,37985.0,29214.0,Online,869
2023-01-16,North,Grocery,151144.0,107573.0,43571.0,366,3771.0,39745.0,Offline,429
2023-01-17,West,Furniture,107239.0,140202.0,-32963.0,210,45982.0,43548.0,Offline,540
2023-01-18,West,Clothing,116431.0,139900.0,-23469.0,32,709.0,11681.0,Hybrid,818
2023-01-19,West,Clothing,85018.0,59514.0,25504.0,465,25963.0,7984.0,Online,2
2023-01-20,East,Electronics,45510.0,,-32476.0,233,6039.0,28579.0,Offline,212
2023-01-21,South,Electronics,,87959.0,97046.0,377,49805.0,55933.0,Offline,580
2023-01-22,North,Clothing,26826.0,4035.0,22791.0,279,20477.0,28399.0,Hybrid,640
2023-01-23,South,Grocery,73026.0,111767.0,-38741.0,356,9106.0,32481.0,Online,333
2023-01-24,West,Grocery,126668.0,19241.0,107427.0,162,44884.0,1944.0,Online,24
2023-01-25,West,Furniture,161590.0,54975.0,106615.0,342,34552.0,10114.0,Online,765
2023-01-26,South,Grocery,29045.0,58396.0,-29351.0,94,3648.0,40846.0,Online,368
2023-01-27,South,Electronics,186948.0,120920.0,66028.0,118,34036.0,33596.0,Hybrid,742
2023-01-28,South,Electronics,95102.0,146403.0,-51301.0,40,6107.0,7907.0,Offline,506
2023-01-29,West,Grocery,56919.0,88226.0,-31307.0,238,20086.0,29114.0,Offline,176
2023-01-30,West,Electronics,104441.0,86719.0,17722.0,249,29750.0,26009.0,Online,429
2023-01-31,North,Clothing,163175.0,65014.0,98161.0,387,19094.0,51241.0,Online,887
2023-02-01,North,Clothing,172260.0,,130914.0,372,7899.0,36725.0,Online,733
2023-02-02,West,Grocery,141917.0,72411.0,69506.0,319,25617.0,19996.0,Offline,442
2023-02-03,South,Clothing,172746.0,145326.0,27420.0,398,33626.0,7047.0,Offline,548
2023-02-04,South,Clothing,123325.0,78441.0,44884.0,150,34117.0,29767.0,Online,514
2023-02-05,North,Furniture,24337.0,48121.0,-23784.0,165,7998.0,17347.0,Hybrid,895
2023-02-06,West,Furniture,158385.0,62197.0,96188.0,308,37790.0,25102.0,Offline,361
2023-02-07,North,Clothing,163015.0,86577.0,76438.0,354,46041.0,5263.0,Offline,274
2023-02-08,North,Grocery,,96634.0,-13685.0,380,10128.0,68438.0,Online,177
2023-02-09,East,Furniture,5276.0,102211.0,-96935.0,108,829.0,31540.0,Hybrid,264
2023-02-10,East,Electronics,56151.0,137909.0,-81758.0,56,39119.0,64769.0,Online,186
2023-02-11,East,Electronics,153683.0,145687.0,7996.0,496,7532.0,41843.0,Online,527
2023-02-12,South,Electronics,148016.0,3466.0,144550.0,336,48594.0,28690.0,Hybrid,913
2023-02-13,West,Grocery,57887.0,32771.0,25116.0,431,38534.0,3994.0,Hybrid,279
2023-02-14,West,Clothing,86442.0,85886.0,556.0,489,,,Hybrid,706
2023-02-15,West,Electronics,54847.0,67911.0,-13064.0,76,21122.0,8377.0,Offline,198
2023-02-16,West,Grocery,63653.0,90422.0,-26769.0,71,29084.0,27467.0,Online,349
2023-02-17,East,Furniture,61622.0,75369.0,-13747.0,118,48350.0,1048.0,Offline,923
2023-02-18,South,Clothing,32810.0,3893.0,28917.0,176,5222.0,37978.0,Hybrid,421
2023-02-19,South,Electronics,82842.0,32573.0,50269.0,46,18272.0,48606.0,Offline,305
2023-02-20,East,Grocery,127225.0,98907.0,28318.0,128,21069.0,50222.0,Hybrid,64
2023-02-21,South,Electronics,15503.0,101956.0,-86453.0,95,42179.0,49115.0,Hybrid,290
2023-02-22,East,Electronics,89761.0,120580.0,-30819.0,391,3735.0,41647.0,Online,18
2023-02-23,West,Grocery,173048.0,93404.0,79644.0,401,5076.0,55607.0,Online,64
2023-02-24,East,Electronics,131439.0,59724.0,71715.0,474,27207.0,58410.0,Online,874
2023-02-25,West,Clothing,16590.0,88133.0,-71543.0,61,34368.0,22996.0,Offline,330
2023-02-26,West,Grocery,146958.0,17989.0,128969.0,100,42132.0,55921.0,Online,870
2023-02-27,North,Furniture,148938.0,30931.0,118007.0,298,41976.0,47022.0,Hybrid,763
2023-02-28,East,Grocery,71624.0,,60334.0,346,30785.0,41148.0,Online,940
2023-03-01,North,Clothing,168864.0,123136.0,45728.0,307,24654.0,68764.0,Offline,17
2023-03-02,East,Clothing,145836.0,81878.0,63958.0,213,20554.0,9888.0,Online,443
2023-03-03,East,Grocery,125356.0,92477.0,32879.0,377,17665.0,40159.0,Online,141
2023-03-04,North,Grocery,47727.0,128299.0,-80572.0,247,14939.0,43197.0,Online,308
2023-03-05,North,Electronics,83471.0,,-24215.0,391,45018.0,25474.0,Offline,444
2023-03-06,East,Clothing,13068.0,109286.0,-96218.0,164,23015.0,18333.0,Hybrid,496
2023-03-07,South,Grocery,121923.0,42475.0,79448.0,249,27462.0,37355.0,Hybrid,426
2023-03-08,West,Grocery,143367.0,84666.0,58701.0,145,43049.0,67258.0,Hybrid,475
2023-03-09,North,Clothing,177232.0,98622.0,78610.0,416,38263.0,32145.0,Online,832
2023-03-10,West,Grocery,16390.0,137705.0,-121315.0,371,45254.0,50854.0,Online,245
2023-03-11,South,Electronics,111752.0,109573.0,,390,,68664.0,Offline,450
2023-03-12,South,Clothing,156203.0,48546.0,107657.0,378,19964.0,36285.0,Hybrid,802
2023-03-13,North,Electronics,99754.0,9008.0,90746.0,73,42536.0,18533.0,Online,351
2023-03-14,North,Electronics,80969.0,50291.0,30678.0,132,30913.0,33624.0,Online,599
2023-03-15,South,Electronics,151110.0,38386.0,112724.0,263,33770.0,47996.0,Online,711
2023-03-16,North,Electronics,188399.0,92909.0,95490.0,486,42799.0,47947.0,Offline,870
2023-03-17,South,Clothing,82064.0,35040.0,47024.0,123,20769.0,28956.0,Hybrid,960
2023-03-18,West,Electronics,26281.0,62354.0,,29,32041.0,52030.0,Offline,161
2023-03-19,West,Electronics,59189.0,80543.0,-21354.0,25,8509.0,59597.0,Hybrid,140
2023-03-20,East,Grocery,53511.0,20157.0,33354.0,154,17507.0,43443.0,Hybrid,493
2023-03-21,West,Clothing,127115.0,37315.0,89800.0,217,26962.0,66464.0,Online,588
2023-03-22,East,Clothing,13605.0,37932.0,-24327.0,28,12042.0,4952.0,Online,531
2023-03-23,West,Furniture,105318.0,147486.0,-42168.0,385,17934.0,57880.0,Online,393
2023-03-24,North,Clothing,137453.0,147399.0,-9946.0,401,30265.0,53201.0,Online,842
2023-03-25,West,Clothing,24810.0,115880.0,-91070.0,175,24269.0,43460.0,Online,401
2023-03-26,North,Furniture,160394.0,134018.0,26376.0,47,22965.0,23796.0,Hybrid,50
2023-03-27,East,Clothing,46869.0,16693.0,30176.0,190,22368.0,32746.0,Online,744
2023-03-28,South,Clothing,37955.0,29241.0,8714.0,358,20656.0,1015.0,Online,295
2023-03-29,North,Clothing,66388.0,117194.0,-50806.0,114,20800.0,50757.0,Offline,425
2023-03-30,West,Clothing,15207.0,97790.0,-82583.0,109,13935.0,26957.0,Offline,906
2023-03-31,South,Furniture,164292.0,148612.0,15680.0,99,4614.0,22292.0,Hybrid,12
2023-04-01,West,Clothing,27031.0,74255.0,-47224.0,424,46836.0,32876.0,Hybrid,335
2023-04-02,West,Clothing,85807.0,13350.0,72457.0,309,36635.0,61727.0,Offline,991
2023-04-03,South,Furniture,76312.0,58809.0,17503.0,453,8595.0,48046.0,Offline,15
2023-04-04,South,Grocery,64766.0,103894.0,-39128.0,341,38409.0,15817.0,Online,28
2023-04-05,South,Electronics,148521.0,99557.0,48964.0,410,4451.0,,Online,388
2023-04-06,South,Grocery,94833.0,33728.0,61105.0,88,21968.0,49432.0,Hybrid,292
2023-04-07,South,Furniture,,19576.0,173195.0,82,,7412.0,Offline,887
2023-04-08,West,Electronics,116041.0,85384.0,30657.0,432,48155.0,58757.0,Hybrid,833
2023-04-09,South,Furniture,,2390.0,118795.0,435,34841.0,21504.0,Online,250
2023-04-10,North,Furniture,182164.0,47436.0,134728.0,185,46627.0,9507.0,Hybrid,505
2023-04-11,East,Clothing,199743.0,13569.0,186174.0,405,3268.0,22050.0,Hybrid,98
2023-04-12,South,Electronics,15350.0,146101.0,-130751.0,105,38570.0,5820.0,Hybrid,815
2023-04-13,South,Clothing,105859.0,24490.0,81369.0,354,47014.0,8835.0,Online,337
2023-04-14,West,Electronics,73487.0,47875.0,25612.0,112,34479.0,14587.0,Hybrid,39
2023-04-15,South,Furniture,153694.0,7867.0,145827.0,411,25851.0,58732.0,Online,38
2023-04-16,South,Furniture,128853.0,82820.0,46033.0,472,15945.0,52921.0,Offline,300
2023-04-17,South,Grocery,58117.0,101515.0,-43398.0,233,49083.0,46499.0,Hybrid,179
2023-04-18,West,Electronics,194466.0,11121.0,183345.0,15,1660.0,7840.0,Hybrid,609
2023-04-19,South,Clothing,106084.0,3539.0,102545.0,131,22861.0,66077.0,Online,892
2023-04-20,East,Grocery,28782.0,129402.0,-100620.0,245,7541.0,32440.0,Hybrid,469
2023-04-21,West,Grocery,33454.0,76229.0,-42775.0,436,19267.0,36183.0,Online,282
2023-04-22,East,Grocery,72904.0,141993.0,-69089.0,125,11346.0,,Hybrid,750
2023-04-23,West,Clothing,134936.0,52435.0,82501.0,172,39144.0,56076.0,Offline,164
2023-04-24,South,Grocery,151664.0,,8282.0,235,20424.0,67299.0,Offline,453
2023-04-25,East,Clothing,158245.0,65965.0,92280.0,239,46157.0,40023.0,Offline,97
2023-04-26,West,Grocery,169276.0,113048.0,56228.0,191,14382.0,51029.0,Hybrid,769
2023-04-27,North,Clothing,171668.0,98444.0,73224.0,258,15238.0,40941.0,Hybrid,309
2023-04-28,South,Furniture,170396.0,71922.0,98474.0,327,21519.0,54950.0,Offline,262
2023-04-29,West,Furniture,127258.0,99799.0,27459.0,462,,66363.0,Offline,293
2023-04-30,North,Furniture,116668.0,95948.0,20720.0,219,39169.0,62742.0,Online,770
2023-05-01,West,Furniture,197274.0,145314.0,51960.0,153,41483.0,46215.0,Online,249
2023-05-02,North,Furniture,129184.0,10947.0,118237.0,401,46179.0,48857.0,Offline,245
2023-05-03,South,Electronics,166822.0,50785.0,116037.0,354,14623.0,56476.0,Offline,251
2023-05-04,East,Grocery,21566.0,121963.0,-100397.0,105,28632.0,29173.0,Hybrid,123
2023-05-05,North,Electronics,143262.0,2507.0,140755.0,391,1579.0,10395.0,Offline,325
2023-05-06,West,Clothing,43333.0,13618.0,29715.0,355,30157.0,60768.0,Online,986
2023-05-07,South,Clothing,126929.0,76286.0,50643.0,253,45778.0,47229.0,Online,681
2023-05-08,North,Clothing,94571.0,18122.0,76449.0,95,32875.0,27639.0,Online,947
2023-05-09,West,Clothing,125263.0,140426.0,-15163.0,424,25254.0,63583.0,Online,501
2023-05-10,West,Furniture,137661.0,111598.0,26063.0,403,31653.0,29924.0,Online,687
2023-05-11,West,Furniture,30235.0,88436.0,-58201.0,193,18844.0,31104.0,Online,781
2023-05-12,North,Furniture,5159.0,138109.0,-132950.0,130,34741.0,38594.0,Offline,716
2023-05-13,North,Electronics,148217.0,30633.0,117584.0,341,38156.0,4664.0,Online,837
2023-05-14,North,Grocery,167993.0,26495.0,141498.0,101,5479.0,11528.0,Online,66
2023-05-15,East,Clothing,,66550.0,43309.0,79,1712.0,29190.0,Online,827
2023-05-16,North,Clothing,152309.0,38483.0,113826.0,413,9501.0,67033.0,Online,836
2023-05-17,North,Furniture,,115181.0,-2674.0,142,13748.0,62161.0,Offline,59
2023-05-18,North,Clothing,144316.0,36069.0,108247.0,288,33687.0,33899.0,Hybrid,731
2023-05-19,East,Clothing,19743.0,140442.0,-120699.0,146,16108.0,18241.0,Hybrid,498
2023-05-20,North,Grocery,51101.0,121873.0,-70772.0,323,36927.0,47211.0,Hybrid,373
2023-05-21,West,Furniture,126534.0,118843.0,7691.0,196,31868.0,64472.0,Hybrid,266
2023-05-22,North,Grocery,89227.0,73947.0,15280.0,230,5783.0,32346.0,Online,653
2023-05-23,West,Electronics,192450.0,97761.0,94689.0,473,26354.0,43220.0,Hybrid,236
2023-05-24,West,Electronics,76126.0,115753.0,-39627.0,447,11215.0,18942.0,Hybrid,898
2023-05-25,West,Electronics,61071.0,133764.0,-72693.0,55,16665.0,50167.0,Offline,218
2023-05-26,East,Furniture,79763.0,30926.0,48837.0,287,34608.0,37373.0,Offline,527
2023-05-27,East,Clothing,148309.0,101782.0,46527.0,201,27297.0,68143.0,Offline,814
2023-05-28,East,Furniture,151721.0,106700.0,45021.0,17,48073.0,3016.0,Online,441
2023-05-29,North,Furniture,173785.0,75984.0,97801.0,388,11084.0,47309.0,Online,650
2023-05-30,West,Clothing,181481.0,51593.0,,285,15280.0,8274.0,Online,406
2023-05-31,East,Grocery,184838.0,77609.0,107229.0,188,38405.0,16748.0,Offline,744
2023-06-01,East,Electronics,,7209.0,43945.0,343,22073.0,21175.0,Hybrid,601
2023-06-02,North,Grocery,12016.0,128700.0,-116684.0,48,33859.0,12826.0,Offline,975
2023-06-03,East,Electronics,184760.0,139605.0,45155.0,302,1026.0,35129.0,Online,589
2023-06-04,North,Furniture,94678.0,88597.0,6081.0,187,8355.0,24490.0,Offline,648
2023-06-05,South,Electronics,117056.0,9211.0,,171,43963.0,42435.0,Hybrid,917
2023-06-06,East,Furniture,59238.0,11927.0,47311.0,340,34560.0,9520.0,Online,469
2023-06-07,South,Grocery,63608.0,119333.0,-55725.0,383,29982.0,62877.0,Hybrid,918
2023-06-08,North,Furniture,94081.0,78382.0,15699.0,113,17071.0,20798.0,Hybrid,110
2023-06-09,West,Grocery,167969.0,141005.0,26964.0,170,32240.0,55638.0,Online,353
2023-06-10,East,Clothing,55961.0,105780.0,-49819.0,296,19642.0,68309.0,Hybrid,813
2023-06-11,North,Clothing,180829.0,42696.0,138133.0,132,25604.0,30894.0,Offline,91
2023-06-12,West,Clothing,31917.0,69616.0,-37699.0,63,9125.0,63963.0,Hybrid,936
2023-06-13,West,Furniture,158808.0,139161.0,19647.0,437,39699.0,55567.0,Hybrid,882
2023-06-14,South,Clothing,32990.0,140869.0,-107879.0,43,16426.0,36326.0,Hybrid,918
2023-06-15,North,Electronics,67551.0,52013.0,15538.0,251,,56059.0,Offline,414
2023-06-16,West,Grocery,194233.0,141418.0,52815.0,464,44972.0,6079.0,Hybrid,702
2023-06-17,East,Grocery,158512.0,51556.0,106956.0,387,26880.0,26838.0,Hybrid,73
2023-06-18,East,Electronics,171277.0,125723.0,45554.0,122,21066.0,48109.0,Offline,685
2023-06-19,South,Furniture,85811.0,28140.0,57671.0,327,,26594.0,Online,547
2023-06-20,West,Furniture,60103.0,3184.0,56919.0,32,44048.0,43749.0,Online,722
2023-06-21,North,Grocery,177699.0,113361.0,64338.0,55,30217.0,37292.0,Online,298
2023-06-22,East,Clothing,111122.0,7606.0,103516.0,321,,52818.0,Hybrid,645
2023-06-23,West,Furniture,24008.0,137028.0,-113020.0,144,25635.0,14429.0,Online,283
2023-06-24,West,Furniture,37402.0,18555.0,18847.0,127,28664.0,58748.0,Offline,505
2023-06-25,South,Electronics,189456.0,92385.0,97071.0,482,9453.0,,Hybrid,198
